Date,Confirmed,Deaths,Recovered
08/03/2020,3,0,0
09/03/2020,3,0,0
10/03/2020,3,0,0
11/03/2020,3,0,0
12/03/2020,3,0,0
13/03/2020,3,0,0
14/03/2020,3,0,0
15/03/2020,5,0,0
16/03/2020,8,0,0
17/03/2020,10,0,0
18/03/2020,14,1,3
19/03/2020,17,1,3
20/03/2020,20,1,3
21/03/2020,25,1,3
22/03/2020,27,2,3
23/03/2020,33,2,3
24/03/2020,39,3,5
25/03/2020,39,5,7
26/03/2020,44,5,11
27/03/2020,48,5,11
28/03/2020,48,5,15
29/03/2020,48,5,15
30/03/2020,49,5,19
31/03/2020,51,5,25
01/04/2020,54,6,26
02/04/2020,56,6,26
03/04/2020,61,6,26
04/04/2020,70,8,30
05/04/2020,88,9,30
06/04/2020,123,12,33
07/04/2020,164,17,33
08/04/2020,218,20,33
09/04/2020,333,21,33
10/04/2020,424,27,33
11/04/2020,482,30,36
12/04/2020,621,34,39
13/04/2020,803,39,42
